Line,Voltage
1.80L,138/144
1.81L,138/144
1.82L,138/144
1.83L,138/144
1.84L,138/144
1.85L,138/144
1002L,240
1003L,240
1005L,240
100L,138/144
1011L,240
1034L,240
1035L,240
1036L,240
1037L,240
1038L,240
1041L,240
1042L,240
1043L,240
1044L,240
1045L,240
1046L,240
1047L,240
1048L,240
1049L,240
1051L,240
1052L,240
1053L,240
1054L,240
1055L,240
1056L,240
1057L,240
1058L,240
1059L,240
1061L,240
1064L,240
1065L,240
1071L,240
1072L,240
1075L,240
1080L,240
1081L,240
1083L,240
1087L,240
1088L,240
1090L,240
1098L,240
1099L,240
11.81L,138/144
11.82L,138/144
11.83L,138/144
1106L,240
1107L,240
1109L,240
1114L,240
1115L,240
1116L,240
1117L,240
1118L,240
1120L,240
1139L,240
113L,138/144
1148L,240
1201L,500
1202L,500
1203L,500
1206L,500
1209L,500
1212L,500
1238L,500
1239L,500
123L,69/72
124L,69/72
12L41,500
12L44,500
12L70,500
12L85,500
13.60L,69/72
13.82L,138/144
1325L,500
133L,69/72
13L50,500
14.83L,138/144
15.60L,69/72
15.62L,69/72
156L,138/144
158L,69/72
16.60L,69/72
16.61L,69/72
16.63L,69/72
161L,138/144
162.81L,138/144
162L,69/72
166L,138/144
170L,138/144
172L,138/144
174L,138/144
180L,138/144
185L,69/72
190L,240
197L,138/144
199L,138/144
1L274,138/144
1L275,138/144
2.80L,138/144
2.81L,138/144
2.82L,138/144
2.83L,138/144
2.84L,138/144
20.82L,138/144
202L,138/144
207L,138/144
21.61L,69/72
21.80L,138/144
215L,138/144
22.81L,138/144
223L,138/144
225L,69/72
23.80L,138/144
234L,69/72
24.81L,138/144
24.82L,138/144
24.83L,138/144
240BA2,240
240BA3,240
240CV5,240
26.81L,138/144
26.83L,138/144
28.80L,138/144
29PL6-01,69/72
29PL6-02,69/72
29PL6-03,69/72
29PL6-04,69/72
29PL6-05,69/72
29PL6-06,69/72
29PL6-14,69/72
29PL6-16,69/72
29PL6-22,69/72
29PL6-23,69/72
29PL6-24,69/72
29PL6-26,69/72
29PL6-27,69/72
29PL6-28,69/72
29PL6-29,69/72
29PL6-7,69/72
29PL7-1,138/144
29PL7-2,138/144
29PL7-3,138/144
29PL7-4,138/144
29PL7-5,138/144
29PL9-1,240
29PL9-12,240
29PL9-13,240
29PL9-14,240
29PL9-15,240
29PL9-16,240
29PL9-17,240
29PL9-2,240
29PL9-3,240
29PL9-4,240
29PL9-5,240
29PL9-6,240
2L113,240
3.82L,138/144
3.84L,138/144
300L,138/144
31.84L,138/144
32.83L,138/144
33.83L,138/144
33.84L,138/144
35.81L,138/144
36.81L,138/144
37.81L,138/144
37.82L,138/144
38.83L,138/144
39.82L,138/144
398L,138/144
40.81L,138/144
408L,138/144
41.84L,138/144
412L,138/144
417L,138/144
418L,138/144
419L,138/144
420L,138/144
421L,138/144
422L,138/144
423L,138/144
425L,138/144
426L,138/144
428L,138/144
430L,138/144
433L,138/144
434L,138/144
443L,138/144
444L,138/144
445L,138/144
446L,138/144
452L,138/144
453L,138/144
454L,138/144
455L,138/144
457L,138/144
461L,138/144
463L,138/144
472L,138/144
497L,138/144
501L,69/72
503L,69/72
507L,138/144
508L,69/72
50L,138/144
512L,69/72
519L,69/72
521L,69/72
522L,69/72
526L,69/72
54.81L,138/144
54L,138/144
551L,69/72
56L,138/144
58L,138/144
591L,69/72
6.80L,138/144
6.82L,138/144
600L,138/144
601L,138/144
603L,138/144
604L,138/144
605L,138/144
606L,138/144
607L,138/144
608L,138/144
610L,138/144
611L,138/144
612L,138/144
613L,138/144
615L,138/144
616L,138/144
624L,138/144
631L,138/144
632L,138/144
633L,138/144
635PL9-1000,240
635PL9-1001,240
636L,138/144
637L,138/144
646L,138/144
648L,138/144
658L,138/144
666L,138/144
667L,138/144
668L,138/144
669L,138/144
671L,138/144
674L,138/144
675L,138/144
676L,138/144
677L,138/144
679L,138/144
680L,138/144
681L,138/144
685L,138/144
688L,138/144
691L,138/144
693L,138/144
694L,138/144
6L02,69/72
6L03,69/72
6L05,69/72
6L09,69/72
6L11,69/72
6L12,69/72
6L126,69/72
6L15,69/72
6L16,69/72
6L21,69/72
6L32,69/72
6L37,69/72
6L44,69/72
6L530,69/72
6L56,69/72
6L57,69/72
6L73,69/72
6L96,69/72
6L97,69/72
6L99,69/72
6LML1,69/72
6LML2,69/72
700L,138/144
701L,138/144
702L,138/144
703L,138/144
704L,138/144
705L,138/144
706L,138/144
707L,138/144
708L,138/144
709L,138/144
710L,138/144
711L,138/144
712L,138/144
715L,138/144
717L,138/144
718L,138/144
719L,138/144
720L,138/144
722L,138/144
723L,138/144
724L,138/144
725L,138/144
726L,138/144
727L,138/144
728L,138/144
729L,138/144
730L,138/144
731L,138/144
732L,138/144
733L,138/144
734L,138/144
735L,138/144
736L,138/144
737L,138/144
738L,138/144
739L,138/144
740L,138/144
741L,138/144
744L,138/144
745L,138/144
747L,138/144
748L,138/144
749L,138/144
75_PLH-901,240
75_PLH-902,240
752L,138/144
753L,138/144
754L,138/144
755L,138/144
756L,138/144
757L,138/144
758L,138/144
759L,138/144
75-PLH-3,240
75-PLH-4,240
760L,138/144
761L,138/144
762L,138/144
763L,138/144
764L,138/144
765L,138/144
767L,138/144
769L,138/144
76L,138/144
770L,138/144
771L,138/144
773L,138/144
774L,138/144
775L,138/144
776L,138/144
776L-2,138/144
777L,138/144
778L,138/144
780L,138/144
781L,138/144
782L,138/144
784L,138/144
787L,138/144
788L,138/144
789L,138/144
790L,138/144
792L,138/144
793L,138/144
794L,138/144
795L,138/144
796L,138/144
797L,138/144
798L,138/144
799L,138/144
7L01,138/144
7L02,138/144
7L03,138/144
7L04,138/144
7L05,138/144
7L07,138/144
7L08,138/144
7L10,138/144
7L32,138/144
7L54,138/144
7L101,138/144
7L104,138/144
7L105,138/144
7L106,138/144
7L109,138/144
7L110,138/144
7L113,138/144
7L114,138/144
7L116,138/144
7L117,138/144
7L12,138/144
7L120,138/144
7L121,138/144
7L122,138/144
7L125,138/144
7L126,138/144
7L127,138/144
7L128,138/144
7L129,138/144
7L13,138/144
7L130,138/144
7L131,138/144
7L132,138/144
7L133,138/144
7L135,138/144
7L137,138/144
7L138,138/144
7L139,138/144
7L14,138/144
7L143,138/144
7L146,138/144
7L147,138/144
7L15,138/144
7L153,138/144
7L155,138/144
7L157,138/144
7L159,138/144
7L16,138/144
7L160,138/144
7L161,138/144
7L162,138/144
7L165,138/144
7L167,138/144
7L170,138/144
7L172,138/144
7L171,138/144
7L182,138/144
7L183,138/144
7L19,138/144
7L194,138/144
7L199,138/144
7L20,138/144
7L22,138/144
7L224,138/144
7L228,138/144
7L230,138/144
7L23,138/144
7L24,138/144
7L25,138/144
7L27,138/144
7L28,138/144
7L29,138/144
7L30,138/144
7L33,138/144
7L34,138/144
7L35,138/144
7L36,138/144
7L38,138/144
7L39,138/144
7L40,138/144
7L42,138/144
7L43,138/144
7L437,138/144
7L44,138/144
7L45,138/144
7L46,138/144
7L47,138/144
7L49,138/144
7L50,138/144
7L51,138/144
7L53,138/144
7L55,138/144
7L56,138/144
7L574,138/144
7L58,138/144
7L583,138/144
7L587,138/144
7L59,138/144
7L60,138/144
7L61,138/144
7L62,138/144
7L63,138/144
7L64,138/144
7L65,138/144
7L66,138/144
7L67,138/144
7L68,138/144
7L69,138/144
7L696,138/144
7L70,138/144
7L701,138/144
7L71,138/144
7L72,138/144
7L73,138/144
7L749,138/144
7L75,138/144
7L76,138/144
7L77,138/144
7L78,138/144
7L79,138/144
7L80,138/144
7L82,138/144
7L84,138/144
7L85,138/144
7L86,138/144
7L89,138/144
7L90,138/144
7L91,138/144
7L92,138/144
7L93,138/144
7L95,138/144
7L97,138/144
801L,138/144
803L,138/144
804L,138/144
805L,138/144
807L,138/144
808L,138/144
809L,138/144
812L,138/144
813L,138/144
814L,138/144
815L,138/144
820L,138/144
821L,138/144
823L,138/144
824L,138/144
825L,138/144
826L,138/144
827L,138/144
828L,138/144
830L,138/144
831L,138/144
832L,138/144
833L,138/144
834L,138/144
835L,138/144
836L,138/144
837L,138/144
838L,138/144
841L,138/144
844L,138/144
846L,138/144
847L,138/144
848L,138/144
84L,138/144
850L,138/144
851L,138/144
853L,138/144
854L,138/144
856L,138/144
857L,138/144
858L,138/144
859L,138/144
85L,138/144
861L,138/144
863L,138/144
864L,138/144
865L,138/144
869L,138/144
870L,138/144
871L,138/144
874L,138/144
876L,138/144
7L94,138/144
879L,138/144
87L,138/144
880L,138/144
883L,138/144
886L,138/144
889L,138/144
890L,138/144
891L,138/144
892L,138/144
893L,138/144
896L,138/144
897L,138/144
898L,138/144
899L,138/144
9.80L,138/144
9.83L,138/144
900L,240
901L,240
902L,240
903L,240
905L,240
906L,240
907L,240
908L,240
909L,240
90L,138/144
910L,240
912L,240
913L,240
914L,240
916L,240
919L,240
920L,240
921L,240
922L,240
923L,240
924L,240
925L,240
926L,240
927L,240
928L,240
929L,240
930L,240
931L,240
932L,240
933L,240
934L,240
935L,240
936L,240
937L,240
940L,240
942L,240
943L,240
944L,240
945L,240
946L,240
947L,240
948L,240
951L,240
954L,240
955L,240
956L,240
957L,240
964L,240
967L,240
968L,240
971L,240
973L,240
974L,240
985L,240
989L,240
994L,240
995L,240
997L,240
9L01,240
9L02,240
9L05,240
9L08,240
9L09,240
9L10,240
9L100,240
9L101,240
9L11,240
9L112,240
9L144,240
9L15,240
9L16,240
9L19,240
9L20,240
9L22,240
9L23,240
9L24,240
9L27,240
9L28,240
9L29,240
9L30,240
9L32,240
9L36,240
9L37,240
9L40,240
9L43,240
9L45,240
9L46,240
9L47,240
9L55,240
9L56,240
9L57,240
9L58,240
9L59,240
9L66,240
9L69,240
9L70,240
9L74,240
9L77,240
9L79,240
9L80,240
9L81,240
9L84,240
9L85,240
9L89,240
9L913,240
9L93,240
9L930,240
9L938,240
9L939,240
9L950,240
9L953,240
9L960,240
9L97,240
9L99,240
9L990,240
9LJH1,240
9LJH2,240
ALC01L,138/144
ALC02L,138/144
ALC03L,138/144
CHD-1,69/72
DML,69/72
East Mine,69/72
EX1-01L,138/144
KVAL-1,240
KVAL-2,240
L9900,240
MH-10L,69/72
MH-15L,138/144
MH-20L,138/144
MH-30L,69/72
MH-50L,69/72
MH-60L,138/144
PCES02L,138/144
PCESO1L,138/144
RL1,240
RL2,240
3L,138/144
150L,138/144
72JM18,69
72MG16,69
72JW19,69
72RW3,69
72RV4,69
72RV6,69
72RV2,69
72RS5,69
72LS24,69
72DS24,69
72CN10,69
T1,0
T2,0
T3,0
T4,0
T5,0
T6,0
T7,0
T8,0
T9,0
T10,0
T11,0
T12,0
T13,0
T14,0
T15,0